sku,qty,ref,val,vendor
A-4503,1,C1 ,220u,tayda
A-1987,2,C19 C21 ,1nf_poly,tayda
A-4526,2,C2 C3 ,2200u,tayda
A-564,1,C20 ,0.1u_poly,tayda
A-321,1,C22 ,1uf_poly,tayda
A-4008,13,C4 C10 C11 C12 C13 C14 C15 C16 C17 C18 C23 C24 C25 ,0.1u,tayda
A-484,2,D1 D2 ,1n5819,tayda
A-1095,3,D4 D6 D8 ,bat46,tayda
A-3005,1,D5 ,LED,tayda
A-155,1,D7 ,1n4007,tayda
A-4118,1,J2 ,barrel_jack,tayda
A-2956,1,J3 ,europower,tayda
A-2563,3,J4 J5 J8 ,mono_jack_3.5mm,tayda
A-5503,2,L1 L2 ,100uH,tayda
A-2193,4,R1 R7 R9 R16 ,75,tayda
A-2180,1,R10 ,470k,tayda
A-2246,1,R11 ,220,tayda
A-2203,2,R14 R19 ,10k,tayda
A-2279,1,R15 ,47k,tayda
A-2192,1,R17 ,680k,tayda
A-2200,1,R18 ,1k,tayda
A-2202,5,R2 R4 R5 R12 R13 ,1.5k,tayda
A-2182,1,R20 ,15k,tayda
A-2334,1,R21 ,68k,tayda
A-2203,1,R22 ,12k,tayda
A-2621,1,R3 ,510,tayda
A-2245,1,R6 ,100,tayda
A-2313,1,R8 ,39k,tayda
A-5531,1,RV1 ,10k_pot,tayda
A-610,1,RV2 ,5k_trim,tayda
A-608,2,RV3 RV5 ,20k_trim,tayda
A-604,1,RV4 ,10k_trim,tayda
A-028,1,U8 ,74HC4053,tayda
