Reference, Quantity, Value, Footprint, Datasheet
C1 C2 ,2,"220u","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","~"
C4 C6 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C20 C23 C24 C25 ,16,"0.1u","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
C19 C21 ,2,"1nf","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
C22 ,1,"1uf","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
C3 C7 ,2,"0.33u","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
C5 C8 ,2,"100u","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","~"
D1 D2 D6 D7 ,4,"1n4007","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
D3 ,1,"zener_1.8v","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
D4 ,1,"bat46","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
D5 ,1,"LED","LED_THT:LED_D3.0mm","~"
J1 J6 J9 J10 ,4,"rca","lib_fp:tht_vertical_rca",""
J2 ,1,"barrel_jack","Connector_BarrelJack:BarrelJack_Horizontal","~"
J3 ,1,"europower","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
J4 J5 ,2,"mono_jack_3.5mm","lib_fp:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
J7 ,1,"diy_power_header","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
J8 ,1,"mono_jack_3.5mm","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
R10 ,1,"470k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R11 ,1,"220","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R14 R19 ,2,"10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R15 ,1,"47k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R17 ,1,"680k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R18 ,1,"1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R20 ,1,"18k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
R21 ,1,"75k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
R22 ,1,"22k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
R3 ,1,"510","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R2 R4 R5 R12 R13 ,5,"1.5k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R6 ,1,"100","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
R8 ,1,"39k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
R1 R7 R9 R16 ,4,"75","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
RV1 ,1,"10k_pot","lib_fp:Potentiometer_Vertical_Large",""
RV2 ,1,"5k_trim","lib_fp:tht_vertical_trim_3362","~"
RV3 RV4 RV5 ,3,"10k_trim","lib_fp:tht_vertical_trim_3362","~"
U1 ,1,"AD8072","lib_fp:DIP-SOIC-8",""
U2 ,1,"L7805","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
U3 ,1,"L7905","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/c9/16/86/41/c7/2b/45/f2/CD00000450.pdf/files/CD00000450.pdf/jcr:content/translations/en.CD00000450.pdf"
U4 ,1,"LT1251","lib_fp:DIP+SOIC_14",""
U5 U6 ,2,"74HC4538","Package_DIP:DIP-16_W7.62mm_LongPads","https://assets.nexperia.com/documents/data-sheet/HEF4538B.pdf"
U7 ,1,"LM1881","lib_fp:DIP-SOIC-8",""
U8 ,1,"74HC4053","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/cd4052b.pdf"
